
---------------------------------------------------------------------------
show ip arp
---------------------------------------------------------------------------
Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  10.3.10.3             118   000f.3514.0800  ARPA   Vlan1
Internet  10.3.10.2               -   000f.3514.f400  ARPA   Vlan1
Internet  10.3.10.1               -   0000.0c07.ac00  ARPA   Vlan1
Internet  10.224.40.210           -   000f.3514.f400  ARPA   Vlan346
Internet  10.224.40.211          96   000f.3514.0800  ARPA   Vlan346
Internet  10.224.40.209         131   0000.0c07.ac00  ARPA   Vlan346
Internet  10.224.40.222          42   ec44.76d9.b443  ARPA   Vlan346
Internet  10.109.2.1            132   0000.0c07.ac00  ARPA   Vlan92
Internet  10.109.2.3            132   000f.3514.0800  ARPA   Vlan92
Internet  10.109.2.2              -   000f.3514.f400  ARPA   Vlan92
Internet  10.3.10.110            62   000f.3420.b480  ARPA   Vlan1
Internet  10.224.40.66            -   000f.3514.f400  ARPA   Vlan336
Internet  10.224.40.67          126   000f.3514.0800  ARPA   Vlan336
Internet  10.224.40.65          126   0000.0c07.ac00  ARPA   Vlan336
Internet  10.224.40.70            1   d009.c8ad.27e6  ARPA   Vlan336
Internet  10.224.40.68          174   ec01.d573.f532  ARPA   Vlan336
Internet  10.224.40.69          234   c45a.b1b4.9a09  ARPA   Vlan336
Internet  10.224.40.74            0   14a9.d074.a58c  ARPA   Vlan336
Internet  10.224.40.75           45   14a9.d074.960c  ARPA   Vlan336
Internet  10.224.40.73          126   78ac.4463.a9a0  ARPA   Vlan336
Internet  10.224.40.78          126   14a9.d074.a58c  ARPA   Vlan336
Internet  10.224.40.76          126   14a9.d074.a58c  ARPA   Vlan336
Internet  10.226.58.66            -   000f.3514.f400  ARPA   Vlan292
Internet  10.226.58.67          132   000f.3514.0800  ARPA   Vlan292
Internet  10.226.58.65          132   0000.0c07.ac00  ARPA   Vlan292
Internet  10.226.58.68          131   001b.2a2f.7ac1  ARPA   Vlan292
Internet  10.226.58.69          131   3037.a60f.09c1  ARPA   Vlan292
Internet  10.224.17.83          188   000f.3514.0800  ARPA   Vlan327
Internet  10.224.17.82            -   000f.3514.f400  ARPA   Vlan327
Internet  10.224.17.81          131   0000.0c07.ac00  ARPA   Vlan327
Internet  10.224.41.2            19   0017.5ad9.9dff  ARPA   GigabitEthernet2/42
Internet  10.224.41.1             -   000f.3514.f400  ARPA   GigabitEthernet2/42
Internet  10.224.63.22            -   000f.3514.f400  ARPA   Port-channel5
Internet  10.224.41.6            18   0017.5ad9.9dbf  ARPA   GigabitEthernet2/43
Internet  10.224.41.5             -   000f.3514.f400  ARPA   GigabitEthernet2/43
Internet  10.224.41.18            7   8478.ac59.92c4  ARPA   Port-channel100
Internet  10.224.41.17            -   000f.3514.f400  ARPA   Port-channel100
Internet  10.224.51.1             -   0000.0c07.ac00  ARPA   Vlan360
Internet  10.224.51.3           113   000f.3514.0800  ARPA   Vlan360
Internet  10.224.51.2             -   000f.3514.f400  ARPA   Vlan360
Internet  10.226.63.9             -   000f.3514.f400  ARPA   GigabitEthernet5/1
Internet  10.225.41.33            -   000f.3514.f400  ARPA   Vlan888
Internet  10.226.12.1             -   0000.0c07.ac00  ARPA   Vlan314
Internet  10.226.12.2             -   000f.3514.f400  ARPA   Vlan314
Internet  10.226.12.3             0   000f.3514.0800  ARPA   Vlan314
Internet  10.224.17.19          131   000f.3514.0800  ARPA   Vlan325
Internet  10.224.17.18            -   000f.3514.f400  ARPA   Vlan325
Internet  10.224.17.17            -   0000.0c07.ac00  ARPA   Vlan325
Internet  10.224.17.3           131   000f.3514.0800  ARPA   Vlan324
Internet  10.224.17.2             -   000f.3514.f400  ARPA   Vlan324
Internet  10.3.10.249           158   005f.86fb.d3c0  ARPA   Vlan1
Internet  10.224.17.1           131   0000.0c07.ac00  ARPA   Vlan324
---------------------------------------------------------------------------

