

---------------------------------------------------------------------------
show ip arp
---------------------------------------------------------------------------

Flags: * - Adjacencies learnt on non-active FHRP router
       + - Adjacencies synced via CFSoE
       # - Adjacencies Throttled for Glean
       D - Static Adjacencies attached to down interface

IP ARP Table for context default
Total number of entries: 1925
Address         Age       MAC Address     Interface
10.239.142.2    00:00:26  8478.ac0d.1b42  Vlan215         
10.239.142.22   00:01:02  3ca8.2a1c.b918  Vlan215         
10.239.142.23   00:00:09  3ca8.2a1c.a9b8  Vlan215         
10.239.142.71   00:08:38  0008.9681.725e  Vlan215         
10.239.140.2    00:10:15  8478.ac0d.1b42  Vlan213         
10.239.140.47   00:12:42  b47a.f137.7486  Vlan213         
10.239.140.48   00:04:22  b47a.f137.7456  Vlan213         
10.239.140.51   00:15:34  ecb1.d7a0.a8c0  Vlan213         
10.239.140.52   00:12:04  ecb1.d7a0.bef0  Vlan213         
10.239.140.53   00:14:26  62d2.7090.0014  Vlan213         
10.239.140.54   00:11:09  ecb1.d7a0.b130  Vlan213         
10.239.140.55   00:07:39  ecb1.d7a0.afb0  Vlan213         
10.239.140.56   00:05:06  ecb1.d7a0.aa20  Vlan213         
10.239.140.61   00:03:30  62d2.7090.0050  Vlan213         
10.239.140.63   00:08:16  62d2.7090.0064  Vlan213         
10.239.140.64   00:16:03  08f1.eae9.2c20  Vlan213         
10.239.140.65   00:14:31  2067.7c1b.aaa0  Vlan213         
10.239.140.66   00:00:17  8030.e006.3930  Vlan213         
10.239.140.68   00:17:56  8030.e006.5080  Vlan213         
10.239.140.100  00:17:53  3863.bb30.17b5  Vlan213         
10.239.140.101  00:00:54  fc15.b41a.b4e5  Vlan213         
10.239.140.102  00:03:47  5065.f369.86b4  Vlan213         
10.239.140.103  00:02:16  98f2.b3f2.8282  Vlan213         
10.239.140.104  00:00:53  5820.b106.51a2  Vlan213         
10.239.140.106  00:00:38  08f1.ea98.0a04  Vlan213         
10.239.140.107  00:08:37  9440.c91d.2b98  Vlan213         
10.239.140.108  00:00:38  9440.c91d.2ce2  Vlan213         
10.239.140.109  00:07:17  9440.c91d.2704  Vlan213         
10.239.140.118  00:07:39  5065.f3fb.c0e8  Vlan213         
10.239.140.119  00:07:21  5065.f3fb.d010  Vlan213         
10.239.140.120  00:01:07  0021.5a05.5316  Vlan213         
10.239.140.121  00:00:34  0021.5a05.5330  Vlan213         
10.239.140.122  00:05:42  3863.bb30.06ab  Vlan213         
10.239.140.123  00:00:18  fc15.b41a.2585  Vlan213         
10.239.140.124  00:00:53  9cb6.547a.8fa4  Vlan213         
10.239.140.125  00:02:26  9cb6.547a.8e14  Vlan213         
10.239.140.126  00:08:06  9cb6.547a.938c  Vlan213         
10.239.140.129  00:04:58  08f1.ea98.05f8  Vlan213         
10.239.140.130  00:07:17  9440.c91d.2d66  Vlan213         
10.239.140.140  00:08:59  5065.f3fb.d078  Vlan213         
10.239.140.141  00:09:01  5065.f3fb.d008  Vlan213         
10.239.140.142  00:01:00  0021.5a05.532f  Vlan213         
10.239.140.143  00:00:51  0021.5a05.5349  Vlan213         
10.239.140.150  00:00:10  INCOMPLETE      Vlan213         
10.239.140.151  0.789557  INCOMPLETE      Vlan213         
10.239.140.152  00:00:01  INCOMPLETE      Vlan213         
10.239.140.162  00:09:15  0050.56ac.8f9a  Vlan213         
10.239.140.170  00:14:35  0050.56ac.1db6  Vlan213         
10.239.140.171  00:00:17  0050.56ac.bfe5  Vlan213         
10.239.140.172  00:09:14  0050.56ac.bd76  Vlan213         
10.239.140.176  00:18:22  0050.5689.44cb  Vlan213         
10.239.140.214  00:00:36  0050.56ac.d9f6  Vlan213         
10.239.140.220  00:04:58  0050.56ac.6aa4  Vlan213         
10.239.140.221  00:03:56  0050.56ac.9a48  Vlan213         
10.239.140.222  00:00:21  0050.56ac.a23d  Vlan213         
10.239.140.223  00:00:36  0050.56ac.ab68  Vlan213         
10.239.140.224  00:00:10  0050.56ac.9a48  Vlan213         
10.239.140.225  00:15:33  0050.56ac.6aa0  Vlan213         
10.239.139.2    00:09:24  8478.ac0d.1b42  Vlan212         
10.239.139.100  00:00:21  INCOMPLETE      Vlan212         
10.239.138.2    00:03:15  8478.ac0d.1b42  Vlan211         
10.239.138.10   00:09:04  9a42.03ef.85a5  Vlan211         
10.239.138.11   00:18:00  f2d4.26cf.f96d  Vlan211         
10.239.138.12   00:09:19  9a42.05be.8d09  Vlan211         
10.239.133.2    00:09:47  8478.ac0d.1b42  Vlan206         
10.239.133.47   00:05:27  9440.c91e.b1b8  Vlan206         
10.239.133.48   00:13:20  9440.c91e.ec83  Vlan206         
10.239.133.51   00:12:28  f67c.c890.000a  Vlan206         
10.239.133.52   00:00:06  f67c.c890.001e  Vlan206         
10.239.133.53   00:17:44  067a.8480.0042  Vlan206         
10.239.133.54   00:01:03  067a.8480.004c  Vlan206         
10.239.133.55   00:04:04  f67c.c890.0032  Vlan206         
10.239.133.56   00:10:00  f67c.c890.003c  Vlan206         
10.239.133.57   00:08:26  8030.e006.5070  Vlan206         
10.239.133.58   00:18:08  2067.7c1b.acd0  Vlan206         
10.239.133.59   00:10:19  f67c.c890.006e  Vlan206         
10.239.133.60   00:14:12  16a3.a510.0046  Vlan206         
10.239.133.61   00:14:09  62d2.7090.005a  Vlan206         
10.239.133.100  00:07:41  3863.bb30.e61d  Vlan206         
10.239.133.101  00:00:52  fc15.b41a.85c3  Vlan206         
10.239.133.102  00:02:06  9cb6.547a.8f38  Vlan206         
10.239.133.103  00:03:18  d067.26d2.90b0  Vlan206         
10.239.133.104  00:07:49  08f1.ea98.0e5c  Vlan206         
10.239.133.105  00:02:57  9440.c91d.2da0  Vlan206         
10.239.133.106  00:06:08  d067.26d5.76e8  Vlan206         
10.239.133.118  00:15:35  5065.f3fb.d00c  Vlan206         
10.239.133.119  00:07:49  5065.f3fb.d0e4  Vlan206         
10.239.133.120  00:01:10  0021.5a05.5333  Vlan206         
10.239.133.121  00:00:29  0021.5a05.43f0  Vlan206         
10.239.133.122  00:00:22  3863.bb30.3695  Vlan206         
10.239.133.123  00:04:51  fc15.b41a.856f  Vlan206         
10.239.133.124  00:06:03  9cb6.547a.8f46  Vlan206         
10.239.133.125  00:01:43  98f2.b3eb.22d4  Vlan206         
10.239.133.126  00:04:39  08f1.ea98.0f9c  Vlan206         
10.239.133.127  00:05:59  9440.c91d.28e8  Vlan206         
10.239.133.128  00:06:01  d067.26d5.7844  Vlan206         
10.239.133.129  00:02:54  b883.0352.c458  Vlan206         
10.239.133.140  00:03:30  5065.f3fb.b074  Vlan206         
10.239.133.141  00:09:01  5065.f3fb.d0a4  Vlan206         
10.239.133.142  00:00:52  0021.5a05.5374  Vlan206         
10.239.133.143  00:00:14  0021.5a05.5318  Vlan206         
10.239.133.150  00:07:22  0050.569a.1bc2  Vlan206         
10.239.133.155  00:00:03  INCOMPLETE      Vlan206         
10.239.133.162  00:11:58  0050.569a.5f38  Vlan206         
10.239.133.163  00:00:07  0050.569a.e97d  Vlan206         
10.239.133.164  00:00:02  0050.569a.ff93  Vlan206         
10.239.133.167  00:16:50  0050.569a.b2e8  Vlan206         
10.239.133.170  00:13:16  0050.569a.cf59  Vlan206         
10.239.133.171  00:12:34  000c.29a6.3735  Vlan206         
10.239.133.172  00:15:58  0050.569a.7e2b  Vlan206         
10.239.133.173  00:02:15  0050.569a.9a3b  Vlan206         
10.239.133.174  00:00:17  0050.569a.58d4  Vlan206         
10.239.133.175  00:00:21  0050.569a.58d4  Vlan206         
10.239.133.176  00:03:35  0050.56b1.4354  Vlan206         
10.239.133.177  00:07:11  0050.569a.1a81  Vlan206         
10.239.133.218  00:01:35  0050.569a.191d  Vlan206         
10.239.132.2    00:09:18  8478.ac0d.1b42  Vlan205         
10.239.132.20   00:00:11  000c.298c.f961  Vlan205         
10.239.132.21   00:00:49  0050.568f.3345  Vlan205         
10.239.132.22   00:00:06  000c.295b.b065  Vlan205         
10.239.132.23   00:00:13  000c.29d1.f54a  Vlan205         
10.239.132.24   00:00:19  0050.5636.af30  Vlan205         
10.239.132.25   00:00:16  0050.5689.6ea4  Vlan205         
10.239.132.39   00:08:36  0050.568c.d8b8  Vlan205         
10.239.132.40   00:17:51  0050.568c.e70d  Vlan205         
10.239.132.41   00:00:54  0050.568c.e13b  Vlan205         
10.239.132.42   00:00:07  0050.568c.2ed3  Vlan205         
10.239.132.43   00:00:15  0050.568c.d08f  Vlan205         
10.239.132.44   00:00:36  0050.568c.a303  Vlan205         
10.239.132.45   00:18:08  0050.568c.889a  Vlan205         
10.239.132.46   00:00:07  0050.568c.03a3  Vlan205         
10.239.132.47   00:00:33  0050.568c.3b22  Vlan205         
10.239.132.48   00:00:07  0050.568c.35c0  Vlan205         
10.239.131.2    00:00:09  8478.ac0d.1b42  Vlan204         
10.239.131.6    00:00:15  d239.eaa9.64b2  Vlan204         
10.239.131.7    00:16:12  d239.eaa8.142c  Vlan204         
10.239.131.11   00:00:11  INCOMPLETE      Vlan204         
10.239.131.12   00:00:59  ac16.2d86.f867  Vlan204         
10.239.131.17   00:02:35  9457.a554.4f70  Vlan204         
10.239.131.18   00:04:22  9418.8278.bd54  Vlan204         
10.239.131.20   00:17:55  0050.568c.7559  Vlan204         
10.239.131.21   00:06:53  0050.568c.d7c4  Vlan204         
10.239.131.22   00:11:30  000c.29fd.a52d  Vlan204         
10.239.131.23   00:18:12  d239.eaa9.50de  Vlan204         
10.239.131.24   00:09:07  d239.eaa9.6b26  Vlan204         
10.239.131.25   00:04:14  0050.568c.9764  Vlan204         
10.239.131.27   00:02:34  0050.568c.93bf  Vlan204         
10.239.131.28   00:15:07  0050.568c.7e92  Vlan204         
10.239.131.30   00:01:15  0050.568c.4e91  Vlan204         
10.239.131.31   00:02:37  0050.568c.5578  Vlan204         
10.239.131.32   00:00:45  0050.568c.ed5f  Vlan204         
10.239.131.33   00:00:07  0050.568c.ef0b  Vlan204         
10.239.131.34   00:00:24  0050.568c.916d  Vlan204         
10.239.131.35   00:04:19  0050.568c.3d7b  Vlan204         
10.239.131.36   00:00:27  0050.568c.9221  Vlan204         
10.239.131.37   00:00:22  0050.568c.38d2  Vlan204         
10.239.131.38   00:00:38  0050.568c.65b1  Vlan204         
10.239.131.39   00:08:36  0050.568c.8b46  Vlan204         
10.239.131.40   00:00:56  0050.568c.c47b  Vlan204         
10.239.131.41   00:00:17  0050.568c.f692  Vlan204         
10.239.131.42   00:01:28  0050.568c.ffa1  Vlan204         
10.239.131.43   00:02:03  0050.568c.afd5  Vlan204         
10.239.131.44   00:06:37  d239.eaa9.6b26  Vlan204         
10.239.131.45   00:17:08  0050.568c.9942  Vlan204         
10.239.131.46   00:06:41  d239.eaa9.64b2  Vlan204         
10.239.131.47   00:04:33  d239.eaa8.142c  Vlan204         
10.239.131.48   00:08:37  0050.568c.8d41  Vlan204         
10.239.131.49   00:00:42  0050.568c.7b0b  Vlan204         
10.239.131.50   00:14:44  d239.eaa9.50de  Vlan204         
10.239.131.51   00:00:31  0050.568c.9836  Vlan204         
10.239.131.199  00:17:56  d239.eaa9.50de  Vlan204         
10.239.130.2    00:03:19  8478.ac0d.1b42  Vlan203         
10.239.130.11   00:02:58  4260.bcac.bcb9  Vlan203         
10.239.130.12   00:11:03  4260.bcac.bcb9  Vlan203         
10.239.130.13   00:16:21  c274.1863.1cb9  Vlan203         
10.239.130.14   00:00:15  c274.1743.7fba  Vlan203         
10.239.130.15   00:00:25  INCOMPLETE      Vlan203         
10.239.130.16   00:00:01  INCOMPLETE      Vlan203         
10.239.130.18   00:13:15  4260.b0e1.92ba  Vlan203         
10.239.130.19   00:05:11  4260.b0e1.92ba  Vlan203         
10.239.130.20   00:01:51  9a42.04bc.4c41  Vlan203         
10.239.130.21   00:11:08  a6b6.cc6b.d3b9  Vlan203         
10.239.130.22   00:17:49  c274.1798.6eb9  Vlan203         
10.239.130.23   00:10:38  a6b6.cc6b.d3b9  Vlan203         
10.239.130.24   00:00:39  9418.826d.50dc  Vlan203         
10.239.130.25   00:01:32  9418.827b.4190  Vlan203         
10.239.130.26   00:13:08  9418.826d.50dc  Vlan203         
10.239.130.27   00:13:34  98be.9408.9dfc  Vlan203         
10.239.130.28   00:07:02  98be.9408.9dfc  Vlan203         
10.239.130.29   00:10:48  98be.9408.9e0c  Vlan203         
10.239.130.31   00:13:24  48df.37a0.2b5b  Vlan203         
10.239.130.253  00:15:48  501c.bfc1.8743  Vlan203         
10.239.130.254  00:03:42  501c.bfeb.5743  Vlan203         
10.239.129.2    00:01:16  8478.ac0d.1b42  Vlan202         
10.239.129.11   00:03:21  4260.b5b2.41b9  Vlan202         
10.239.129.12   00:11:20  4260.b5b2.41b9  Vlan202         
10.239.129.13   00:11:59  4260.babc.77c4  Vlan202         
10.239.129.14   00:12:34  4260.b3c2.3dc4  Vlan202         
10.239.129.16   00:16:47  c274.1810.53b9  Vlan202         
10.239.129.17   00:11:28  c274.15cf.87c4  Vlan202         
10.239.129.18   00:00:46  c274.177a.c1c4  Vlan202         
10.239.129.21   00:00:01  INCOMPLETE      Vlan202         
10.239.129.23   00:05:54  4260.babc.77c4  Vlan202         
10.239.129.24   00:05:29  4260.b3c2.3dc4  Vlan202         
10.239.129.26   00:10:29  a6b6.c95f.dbb9  Vlan202         
10.239.129.27   00:01:06  c274.1ac1.b3b9  Vlan202         
10.239.129.28   00:12:13  a6b6.c95f.dbb9  Vlan202         
10.239.129.29   00:03:03  9418.827a.9cb8  Vlan202         
10.239.129.30   00:16:20  9418.827a.9c98  Vlan202         
10.239.129.31   00:14:06  9418.827a.9cb8  Vlan202         
10.239.129.32   00:10:49  9418.827b.3160  Vlan202         
10.239.129.33   00:09:00  9418.8279.7d10  Vlan202         
10.239.129.35   00:16:00  eceb.b887.3270  Vlan202         
10.239.129.36   00:01:47  eceb.b887.4214  Vlan202         
10.239.129.37   00:00:36  2067.7cd8.83f0  Vlan202         
10.239.129.38   00:14:41  2067.7cd8.8318  Vlan202         
10.239.129.39   00:14:44  0432.014a.da40  Vlan202         
10.239.129.40   00:14:02  0432.014a.92e0  Vlan202         
10.239.129.51   00:15:38  0050.5686.aa40  Vlan202         
10.239.129.52   00:13:31  0050.5686.1edc  Vlan202         
10.239.129.53   00:01:56  0050.5686.31a1  Vlan202         
10.239.129.54   00:11:01  0050.5686.dd15  Vlan202         
10.239.129.55   00:11:38  0050.5686.6f2f  Vlan202         
10.239.129.56   00:02:55  0050.5686.10af  Vlan202         
10.239.129.57   00:15:31  0050.5686.67d9  Vlan202         
10.239.129.58   00:16:43  0050.5686.a544  Vlan202         
10.239.129.59   00:18:38  0050.5686.3ffb  Vlan202         
10.239.129.60   00:07:31  0050.5686.7241  Vlan202         
10.239.129.61   00:01:03  0050.5686.83f1  Vlan202         
10.239.129.62   00:01:37  0050.5686.7d2e  Vlan202         
10.239.129.63   00:00:59  0050.5686.d54b  Vlan202         
10.239.129.64   00:01:35  0050.5686.3795  Vlan202         
10.239.129.65   00:02:11  0050.5686.a383  Vlan202         
10.239.129.66   00:10:18  0050.5686.292b  Vlan202         
10.239.129.71   00:00:56  0050.5686.b212  Vlan202         
10.239.129.72   00:02:58  0050.5686.1231  Vlan202         
10.239.129.73   00:12:21  0050.5686.24dd  Vlan202         
10.239.129.74   00:13:00  0050.5686.794e  Vlan202         
10.239.129.75   00:11:58  0050.5686.19e6  Vlan202         
10.239.129.76   00:00:53  0050.5686.003b  Vlan202         
10.239.129.77   00:10:24  0050.5686.bdbe  Vlan202         
10.239.129.78   00:03:48  0050.5686.24ad  Vlan202         
10.239.129.79   00:06:19  0050.5686.5e4e  Vlan202         
10.239.129.80   00:17:57  0050.5686.0116  Vlan202         
10.239.129.81   00:01:15  0050.5686.f8aa  Vlan202         
10.239.129.83   00:06:16  0050.5686.b34b  Vlan202         
10.239.129.84   00:13:27  0050.5686.c861  Vlan202         
10.239.129.94   00:00:13  0050.5686.4a9d  Vlan202         
10.239.129.95   00:00:28  0050.5686.c6b3  Vlan202         
10.239.129.96   00:00:36  0050.5686.07a8  Vlan202         
10.239.129.97   00:00:27  0050.5686.21da  Vlan202         
10.239.129.98   00:00:47  0050.5686.307c  Vlan202         
10.239.129.99   00:00:21  0050.5686.e7e8  Vlan202         
10.239.129.100  00:00:16  0050.5686.0ee6  Vlan202         
10.239.129.200  00:00:13  0050.5686.604e  Vlan202         
10.239.129.201  00:02:37  0014.4ffa.4aae  Vlan202         
10.239.129.202  00:01:58  0014.4ffb.95bb  Vlan202         
10.239.129.230  00:07:14  a6b6.c5fd.1fc6  Vlan202         
10.239.129.253  00:15:48  501c.bfc1.8742  Vlan202         
10.239.129.254  00:03:31  501c.bfeb.5742  Vlan202         
10.239.128.2    00:01:35  8478.ac0d.1b42  Vlan201         
10.239.128.11   00:11:51  4260.ba07.07b9  Vlan201         
10.239.128.13   00:17:33  c274.1aed.3ab9  Vlan201         
10.239.128.14   00:00:01  INCOMPLETE      Vlan201         
10.239.128.20   00:15:22  9a42.048e.d6dd  Vlan201         
10.239.128.21   00:00:47  a6b6.c324.d3b9  Vlan201         
10.239.128.22   00:16:35  c274.1802.57b9  Vlan201         
10.239.128.23   00:13:43  9418.827a.bc04  Vlan201         
10.239.128.24   00:00:23  9418.827a.0d8c  Vlan201         
10.239.128.25   00:03:14  98be.9408.ab1c  Vlan201         
10.239.128.26   00:02:14  98be.9408.ab1c  Vlan201         
10.239.128.27   00:10:03  98be.9408.9e00  Vlan201         
10.239.128.32   00:01:24  a4bf.012b.d956  Vlan201         
10.239.128.33   00:04:52  a4bf.012b.db18  Vlan201         
10.239.128.34   00:02:41  a4bf.012b.e08c  Vlan201         
10.239.128.35   00:00:10  a4bf.0114.aa0c  Vlan201         
10.239.128.36   00:04:04  f8f2.1ef2.9110  Vlan201         
10.239.128.37   00:00:35  f8f2.1ef2.b6dc  Vlan201         
10.239.128.38   00:02:51  f8f2.1ef2.8861  Vlan201         
10.239.128.39   00:00:25  INCOMPLETE      Vlan201         
10.239.128.40   00:01:56  6c92.cf3b.4a10  Vlan201         
10.239.128.41   00:00:56  6c92.cf3b.4b70  Vlan201         
10.239.128.42   00:01:56  d404.e6f5.6ea0  Vlan201         
10.239.128.43   00:00:56  6c92.cf3b.5ac0  Vlan201         
10.239.128.44   00:00:56  d404.e6f4.7410  Vlan201         
10.239.128.50   00:01:45  ec01.d573.b29c  Vlan201         
10.239.128.253  00:02:42  501c.bfc1.8741  Vlan201         
10.239.128.254  00:11:35  501c.bfeb.5741  Vlan201         
10.239.91.2     00:08:53  8478.ac0d.1b42  Vlan161         
10.239.91.10    00:12:34  40f2.e95c.a6e0  Vlan161         
10.239.90.2     00:05:12  8478.ac0d.1b42  Vlan160         
10.239.90.10    00:11:00  083a.8818.4a20  Vlan160         
10.239.88.66    00:09:30  8478.ac0d.1b42  Vlan92          
10.239.88.73    00:02:04  8894.71fd.4780  Vlan92          
10.239.88.74    00:01:49  8894.71f9.723f  Vlan92          
10.239.88.80    00:07:34  f4c7.aa18.608c  Vlan92          
10.239.88.2     00:09:27  8478.ac0d.1b42  Vlan90          
10.239.88.3     00:00:10  50eb.1a63.b4de  Vlan90          
10.239.88.4     00:02:24  50eb.1a63.e9b1  Vlan90          
10.239.88.5     00:12:12  50eb.1a63.b4de  Vlan90          
10.239.88.6     00:07:19  6e07.53e8.1f71  Vlan90          
10.239.88.7     00:00:07  42a2.6d58.eb76  Vlan90          
10.239.88.8     00:00:05  42a2.6d58.eb76  Vlan90          
10.239.88.10    00:00:05  6e07.53e8.1f71  Vlan90          
10.239.88.11    00:02:23  ec2a.7201.a304  Vlan90          
10.239.88.12    00:05:07  3c97.0e15.7167  Vlan90          
10.239.88.13    00:12:49  0027.f83e.ce6c  Vlan90          
10.239.88.14    00:00:34  c4f5.7c7d.4f78  Vlan90          
10.239.88.15    00:12:44  0027.f839.dae7  Vlan90          
10.239.88.16    00:02:00  c4f5.7c7d.5e5c  Vlan90          
10.239.88.18    00:00:52  f4c7.aa11.0df0  Vlan90          
10.239.88.19    00:06:18  0030.8c1a.8a92  Vlan90          
10.239.88.23    00:02:14  0027.f83c.0ca8  Vlan90          
10.239.88.24    00:01:01  0027.f83e.ce6c  Vlan90          
10.239.88.25    00:00:12  0027.f83a.9105  Vlan90          
10.239.88.26    00:01:10  0027.f839.dae7  Vlan90          
10.239.88.27    00:02:13  50eb.1a63.e999  Vlan90          
10.239.88.28    00:01:47  50eb.1a63.b4e6  Vlan90          
10.239.88.29    00:03:37  50eb.1a63.b4e6  Vlan90          
10.237.86.131   00:09:09  8478.ac0d.1b42  Vlan81          
10.237.86.140   00:00:12  6cae.8b01.5814  Vlan81          
10.239.86.66    00:01:03  8478.ac0d.1b42  Vlan80          
10.239.86.70    00:05:08  9418.8274.eb92  Vlan80          
10.239.86.71    00:07:43  9418.8274.eb82  Vlan80          
10.239.86.72    00:02:04  9418.8274.fb38  Vlan80          
10.239.86.73    00:06:42  9418.8274.5162  Vlan80          
